measure,location,sex,age,metric,year,val,upper,lower
Population,Canada,Female,15-49 years,Number,2006,8046104.268467935,8585942.323166614,7508281.597942103
Population,Canada,Both,15-49 years,Number,2006,15980199.148945244,17052360.201601688,14912040.80857901
Population,Canada,Male,15-49 years,Number,2007,7957817.578910298,8520502.179598272,7359303.26566467
Population,Canada,Female,15-49 years,Number,2007,8070434.7102539465,8641082.288850417,7463450.365576023
Population,Canada,Both,15-49 years,Number,2007,16028252.289164245,17161584.468448687,14822753.631240694
Population,Canada,Male,15-49 years,Number,2008,7977935.349726976,8639705.682415092,7329936.406750607
Population,Canada,Female,15-49 years,Number,2008,8089670.025451204,8760708.757829893,7432595.557468783
Population,Canada,Both,15-49 years,Number,2008,16067605.37517818,17400414.440244988,14762531.964219391
Population,Canada,Male,15-49 years,Number,2009,7997412.577781725,8652927.260082612,7385432.545083496
Population,Canada,Female,15-49 years,Number,2009,8104103.957184226,8768363.688586064,7483959.659704064
Population,Canada,Both,15-49 years,Number,2009,16101516.534965951,17421290.948668674,14869392.204787558
Population,Canada,Male,15-49 years,Number,2010,8012161.428146009,8574168.263806503,7392478.751836585
Population,Canada,Female,15-49 years,Number,2010,8112126.28447441,8681145.077281078,7484712.050299856
Population,Canada,Both,15-49 years,Number,2010,16124287.712620419,17255313.34108758,14877190.802136442
Population,Canada,Male,15-49 years,Number,2011,8019147.611109998,8558683.181991717,7464506.7247006735
Population,Canada,Female,15-49 years,Number,2011,8112703.756496673,8658533.870234888,7551592.099636083
Population,Canada,Both,15-49 years,Number,2011,16131851.367606672,17217217.052226607,15016098.824336756
Population,Canada,Male,15-49 years,Number,2012,8022747.340463917,8637129.226659814,7452756.513699705
Population,Canada,Female,15-49 years,Number,2012,8108839.399914128,8729814.2148945,7532732.004590369
Population,Canada,Both,15-49 years,Number,2012,16131586.740378045,17366943.44155431,14985488.518290076
Population,Canada,Male,15-49 years,Number,2013,8015307.464004615,8679812.220298992,7364262.828674992
Population,Canada,Female,15-49 years,Number,2013,8095525.913691149,8766681.137431553,7437965.521909584
Population,Canada,Both,15-49 years,Number,2013,16110833.377695763,17446493.35773055,14802228.350584576
Population,Canada,Male,15-49 years,Number,2014,8008677.91569523,8647567.300238183,7374377.631842025
Population,Canada,Female,15-49 years,Number,2014,8081569.999193337,8726274.323337356,7441496.54407014
